Texte;Type d'entité
LEDUCAI1ION;O
"
";O
1;I-MISC
1I;O
H;B-PER
Il;O
  ;O
T;I-PER
"

";O
I;B-LOC
(;O
Le;O
septembre;O
180;O
vers;O
six;O
heures;I-MISC
du;O
matin;O
la;O
Vil;B-PER
/;O
le;O
-;O
de;O
MIontereau;O
pris;O
partir;O
fumait;O
a;O
gros;O
tour-;O
billons;O
devant;O
quai;O
tSaint;I-LOC
Bernard;I-LOC
Des;O
gens;O
arrivaicnl;O
hors;O
dhuleine;O
des;O
barriques;O
cbles;O
corbeilles;O
linge;O
gnaient;O
circula-;O
tion;O
les;O
matelots;O
ne;O
repondaicnt;O
personne;O
on;O
se;O
hcurtait;O
colis;O
montaient;O
entre;O
deux;O
tambours;O
et;O
tepge;O
sabsorbait;O
duns;O
bruissement;O
v-;O
peuI;B-LOC
qui;O
schappant;O
par;O
plaques;O
dec;O
tle;O
envelop-;O
pait;O
tout;O
dune;O
nuee;O
blanchatre;O
tandis;O
que;O
cloche;O
"
 ";O
lavant;O
tintait;O
sans;O
discontinuer;O
Enfin;O
nuvire;O
ptit;O
deunx;O
berges;O
peuples;O
magasins;O
chanliers;O
dusines;O
lileenlt;O
comme;O
larges;O
rubans;O
lon;O
droule;O
Un;O
jeune;O
homme;I-MISC
li;O
huit;O
ans;O
longs;O
cheveux;O
tenait;O
un;O
album;O
sous;O
son;O
bras;O
restit;O
atutprbs;O
gouvernail;O
immobile;O
A;I-LOC
avers;O
bouillard;O
il;O
con-;O
Source;B-MISC
gallicabnffr;I-MISC
Bibliotheque;B-ORG
nationale;O
FranceL;I-ORG
iIUCATION;O
S1NTI1MIENTA;O
ILE;B-ORG
templait;O
clochers;O
difices;O
lont;O
savait;O
pas;O
noms;O
puis;O
embrassa;O
dnns;O
dernier;O
coup;O
dil;O
1Ile;O
Saint-Louis;I-LOC
Cite;B-LOC
Notre-Dame;I-LOC
bientt;O
Paris;B-LOC
disparaissant;O
poussa;O
grand;O
soupir;O
M;B-PER
Frederic;B-PER
Moreau;I-PER
nouvellement;O
regu;O
bachelier;O
sen;B-PER
retournait;O
 ;O
Nogent-sur-Seine;B-LOC
oi;O
devait;O
languir;O
pendant;O
mois;O
avant;O
daller;O
faire;O
droit;O
Sa;O
mre;O
avec;O
somme;O
indispensable;O
lavait;O
envoye;O
au;O
Havre;I-LOC
voir;O
oncle;O
dont;O
elle;O
esprait;O
pour;O
lui;O
lhe-;O
ritage;O
en;O
etait;O
revenu;O
veille;O
seulement;O
dedommageait;O
pouvoir;O
sjourner;O
dans;O
capi-;O
tale;O
