Texte;Type d'entité
LÉDUCATION;B-MISC
"

";O
SENTIMENTALE;O
Le;O
15;O
septembre;O
1840;O
vers;O
six;O
heures;I-MISC
du;O
matin;O
/a;O
"
";O
Valle-de-Montereau;B-LOC
près;O
de;O
partir;O
fumait;O
à;O
gros;O
tour-;O
billons;O
devant;O
le;O
quai;O
Saint-Bernard;B-LOC
Des;O
gens;O
arrivaient;O
hors;O
dhaleine;O
 ;O
des;O
barriques;O
càbles;O
corbeilles;O
linge;O
gênaient;O
la;O
circula-;O
tion;O
les;O
matelots;O
ne;O
répondaient;O
personne;O
on;O
se;O
heurtait;O
colis;O
montaient;O
entre;O
deux;O
tambours;O
et;O
tapage;O
sabsorbait;O
dans;O
bruissement;O
va-;O
peur;I-MISC
qui;O
séchappant;O
par;O
plaques;O
tôle;O
envelop-;O
pait;O
tout;O
dune;O
nuée;O
blanchâtre;O
tandis;O
que;O
cloche;O
lavant;O
tintait;O
sans;O
discontinuer;O
Enfin;O
navire;O
partit;O
berges;O
peuplées;O
magasins;O
chantiers;O
dusines;O
filèrent;O
comme;O
larges;O
rubans;O
lon;O
déroule;O
Un;B-MISC
jeune;O
homme;O
dix-huit;O
ans;O
longs;O
cheveux;O
tenait;O
un;O
album;O
sous;O
son;O
bras;O
restait;O
auprès;O
gouvernail;O
immobile;O
A;O
travers;O
brouillard;O
il;O
con-;O
1;O
templait;O
clochers;O
édifices;O
dont;O
savait;O
pas;O
noms;O
puis;O
embrassa;O
dernier;O
coup;O
dœil;O
lîle;O
Saint-Louis;I-LOC
Cité;O
Notre-Dame;B-LOC
bientôt;O
Paris;B-LOC
disparaissant;O
poussa;O
grand;O
soupir;O
M;O
Frédéric;B-PER
Moreau;I-PER
nouvellement;O
reçu;O
bachelier;O
sen;B-PER
retournait;O
Nogent-sur-Seine;B-LOC
où;O
devait;O
languir;O
pendant;O
mois;O
avant;O
daller;O
faire;O
droit;O
Sa;O
mère;O
avec;O
somme;O
indispensable;O
lavait;O
envoyé;O
au;O
Havre;I-MISC
voir;O
oncle;O
elle;O
espérait;O
pour;O
lui;O
lhé-;O
ritage;O
en;O
était;O
revenu;O
veille;O
seulement;O
dédommageait;O
pouvoir;O
séjourner;O
capi-;O
tale;O
regagnantsa;O
province;O
route;O
plus;O
lon-;O
gue;O
tumulte;O
sapaisait;O
tous;O
avaient;O
pris;O
leur;O
place;O
quelques-uns;O
debout;O
chauffaient;O
autour;O
ma-;O
chine;I-LOC
cheminée;O
crachait;O
râle;O
lent;O
rythmique;O
panache;O
fumée;O
noire;O
goutte-;O
lettes;O
rosée;O
coulaient;O
sur;O
cuivres;O
pont;O
trem-;O
bluit;O
une;O
petite;O
vibration;O
intérieure;O
roues;O
tournant;O
rapidement;O
battaient;O
leau;O
La;O
rivière;O
bordée;O
grèves;O
sable;I-MISC
On;O
rencontrait;O
trains;O
bois;O
mettaient;O
ondu-;O
ler;O
remous;I-MISC
vagues;O
ou;O
bien;O
bateau;O
voiles;O
assis;O
pêchait;O
brumes;O
errantes;O
fondirent;O
soleil;O
parut;O
colline;O
sui-;O
vait;O
droite;O
cours;O
Seine;I-LOC
peu;O
sabaissa;O
etil;I-MISC
surgit;O
autre;I-MISC
proche;O
rive;O
op-;O
posée;O
arbres;O
couronnaient;O
parmi;O
maisons;O
bas-;O
ses;O
couvertes;O
toits;O
litalienne;B-LOC
Eiles;B-ORG
jardins;O
pente;O
divisaient;O
murs;O
neufs;O
grilles;O
fer;O
gazons;O
serres;O
chaudes;O
vases;O
géraniums;O
espacés;O
régulièrement;O
ter-;O
rasses;O
pouvait;O
saccouder;O
Plus;O
dun;O
aper-;O
cevant;O
ces;O
coquettes;O
résidences;O
si;O
tranquilles;O
enviait;O
den;B-PER
être;O
propriétaire;O
vivre;O
là;O
jusquà;O
fin;O
jours;O
bon;O
billard;O
chaloupe;O
"

 

";O
5;O
femme;O
quelque;O
rêve;O
plaisir;O
nouveau;O
excursion;I-MISC
maritime;O
facilitait;O
épanchements;O
Déjà;O
farceurs;O
commençaient;O
leurs;O
plaisanteries;I-MISC
Beaucoup;O
chantaient;O
gai;O
Il;I-MISC
versait;O
petits;O
verres;O
pensait;O
chambre;O
quil;O
occuperait;O
-;O
bas;O
plan;O
drame;O
sujets;O
tableaux;O
passions;O
futures;O
trouvait;O
bonheur;I-MISC
mérité;O
lexcellence;O
âme;O
tardait;O
venir;O
déclama;I-PER
mélancoliques;O
marchait;O
rapides;O
savança;O
jusquau;O
bout;O
côté;O
clo-;O
che;O
—;I-LOC
cercle;O
passagers;O
vit;O
monsieur;O
contait;O
galanteries;O
paysanne;O
maniant;O
croix;O
dor;O
quelle;O
por-;O
tait;O
poitrine;O
Cétait;O
gaillard;B-PER
quaran-;O
taine;B-PER
dannées;O
crépus;O
taille;O
robuste;O
emplissait;O
jaquette;O
velours;O
noir;O
éme-;O
raudes;O
brillaient;O
sa;O
chemise;O
batiste;I-MISC
large;O
pantalon;O
blanc;O
tombait;O
détranges;O
bottes;O
rouges;O
cuir;O
Russie;B-LOC
rehaussées;O
dessins;O
bleus;O
présence;O
dérangea;O
tourna;O
plusieurs;O
fois;O
linterpellant;O
clins;O
ensuite;O
offrit;O
cigares;O
ceux;O
lentouraient;O
Mais;B-MISC
ennuyé;O
cette;O
compagnie;O
doute;O
alla;O
mettre;O
loin;O
suivit;O
conversation;O
roula;O
dabord;O
différentes;O
es-;O
pèces;O
tabacs;O
naturellement;O
fem-;O
mes;O
donna;O
conseils;O
exposait;O
théories;O
narrait;O
anecdotes;O
citait;O
lui-même;O
exemple;O
débitant;O
cela;O
ton;O
paterne;O
ingénuité;O
cor-;O
ruption;O
divertissante;O
I;I-MISC
républicain;O
avait;O
voyagé;O
connaissait;O
lintérieur;O
théâtres;O
restaurants;O
journaux;O
artistes;O
célèbres;O
appelait;O
familière-;O
ment;O
prénoms;O
confia;O
projets;O
1l;O
encouragea;O
L;B-MISC
"

";O
6;O
sinterrompit;O
observer;O
tuyau;O
marmotta;O
vite;O
long;O
calcul;O
afin;O
savoir;O
combien;O
chaque;O
piston;B-PER
tant;O
minute;O
ete;O
Et;O
trouvée;O
admira;O
beaucoup;O
paysage;O
disait;O
heureux;O
dêtre;O
échappé;O
aux;O
affaires;O
éprouvait;O
certain;O
respect;O
résista;O
lenvie;O
nom;O
Linconnu;B-MISC
ré-;O
pondit;O
haleine;O
Jacques;B-PER
Arnoux;B-LOC
lArt;B-MISC
industriel;O
boulevard;O
Montmartre;I-LOC
domestique;O
ayant;O
galon;O
casquette;O
vint;O
dire;O
Si;O
Monsieur;B-PER
voulait;O
descendre;O
Mademoiselle;O
pleure;O
disparut;O
LArt;B-PER
établissement;O
hybride;O
com-;O
prenant;O
journal;O
peinture;O
magasin;O
ta-;O
bleaux;O
vu;O
ce;O
titre;O
-là;O
létalage;O
libraire;O
pays;O
natal;O
dimmenses;O
prospectus;O
dévelop-;O
magistralement;I-MISC
dardait;O
daplomb;O
faisant;O
reluire;O
ga-;O
billots;O
mats;O
da;O
bastin-;O
gage;O
surface;O
coupait;O
proue;O
sillons;O
déroulaient;O
bord;O
prairies;I-MISC
À;O
détour;O
retrouvait;O
même;O
rideau;O
peupliers;O
pâles;O
campagne;O
toute;O
vide;O
y;O
ciel;O
nuages;O
blanes;O
arrêtés;O
lennui;O
vaguement;O
répandu;O
semblait;O
alanguir;O
marche;O
rendre;O
laspect;O
voyageurs;O
insignifiant;O
encore;O
part;O
quelques;I-MISC
bourgeois;O
Premières;B-MISC
cétaient;O
ouvriers;O
boutique;O
femmes;O
enfants;O
Comme;O
coutume;O
alors;O
vêtir;O
sordidement;O
voyage;O
presque;O
lous;O
portaient;O
vieilles;O
calottes;O
grecques;O
chapeaux;O
déteints;O
"

 

  

";O
4;O
"


";O
|;O
Re;B-MISC
nn;O
ue;B-ORG
00;O
ul;O
ennemi;O
=;O
"

 

";O
7;O
maigres;O
habits;O
noirs;O
râpés;O
frottemeut;O
bureau;O
redingotes;O
ouvrant;O
capsule;O
boutons;O
avoir;O
trop;O
servi;O
çà;O
gilet;O
châle;O
laissait;O
cali-;O
-cot;O
maculée;O
café;O
épingles;O
chrysocale;O
pi-;O
quaient;O
cravates;O
lambeaux;O
sous-pieds;O
cou-;O
sus;O
retenaient;O
chaussons;O
lisière;O
trois;O
gredins;O
tenaient;O
bambous;O
gance;O
lan-;O
çaient;O
regards;O
obliques;O
pères;O
famille;O
ou-;O
vraient;O
yeux;O
questions;O
Ils;O
cau-;O
saient;O
accroupis;B-PER
bagages;O
dautres;O
dormaient;O
coins;O
man-;O
gealent;O
sali;O
écales;O
noix;O
bouts;O
pelures;O
poires;I-MISC
détritus;O
charcuterie;O
apportée;O
papier;O
ébénistes;O
blouse;O
stationnaient;O
cantine;O
joueur;O
harpe;O
haillons;O
reposait;O
accoudé;O
ins-;O
trument;O
entendait;O
intervalles;O
bruit;O
char-;O
terre;O
fourneau;O
éclat;O
voix;O
rire;O
capitaine;O
passerelle;O
tambour;O
lautre;O
sarrêter;O
rejoin-;O
dre;O
grille;O
chasseurs;O
chiens;O
Ce;O
fut;O
apparition;O
Elle;O
assise;O
milieu;O
banc;O
seule;O
moins;O
distingua;O
léblouisse-;O
envoyèrent;O
En;O
temps;O
passait;O
leva;O
tête;O
fléchit;O
involontaire-;O
épaules;O
quand;O
mis;O
regarda;O
chapeau;O
paille;I-MISC
ru-;O
bans;O
roses;O
palpitaient;O
vent;O
derrière;O
Ses;B-PER
bandeaux;O
contournant;O
pointe;O
grands;O
sourcils;O
descendaient;O
très;O
semblaient;O
presser;O
amoureusement;O
lovale;O
figure;O
robe;O
mous-;O
seline;O
claire;O
tachetée;O
pois;O
répandait;O
plis;O
nombreux;O
train;O
broder;O
8;O
chose;O
nez;O
menton;O
découpait;O
fond;O
lair;O
bleu;O
gardait;O
attitude;O
fit;O
tours;O
gauche;O
dissimuler;O
nœuvre;O
ilse;O
planta;O
ombrelle;O
contre;I-MISC
affectait;O
dobserver;O
cha-;O
loupe;O
Jamais;O
navait;O
splendeur;O
peau;O
brune;O
séduction;O
ni;O
finesse;O
doigts;O
lumière;O
traversait;O
considérait;O
panier;O
ouvrage;O
ébahissement;O
extraor-;O
dinaire;O
Quels;B-PER
étaient;O
demeure;O
vie;O
passé;O
souhaitait;O
connaître;O
meubles;O
toutes;O
robes;O
portées;O
fréquentait;O
désir;O
possession;O
physique;O
disparaissait;O
envie;O
pro-;O
fonde;O
curiosité;O
douloureuse;O
limites;O
Une;B-MISC
négresse;O
coiffée;O
foulard;O
présenta;O
tenant;O
main;O
fille;O
déjà;O
grande;I-MISC
Len-;O
fant;O
roulaient;O
larmes;O
venait;O
séveiller;O
prit;O
genoux;O
nétait;O
sage;O
quoiquelle;O
eût;O
sept;O
laimerait;O
pardonnait;O
caprices;O
réjouissait;O
dentendre;O
choses;O
sil;O
fait;O
découverte;O
acqui-;O
sition;O
[;O
supposait;O
dorigine;O
andalouse;O
créole;O
peut-être;O
ramené;O
îles;O
Cependant;O
bandes;O
violettes;O
placé;O
dos;O
bordage;O
cuivre;O
dû;O
mer;B-LOC
durant;O
soirs;O
humides;O
envelopper;O
vrir;O
pieds;O
dormir;O
dedans;O
entraîné;O
franges;O
glissait;O
allait;O
tomber;O
bond;O
rattrapa;O
dit;O
"

 

 

 

 

";O
9;I-MISC
Je;O
vous;O
remercie;O
Leurs;B-MISC
rencontrèrent;O
Ma;B-PER
es;O
tu;O
prête;O
cria;O
sieur;I-MISC
apparaissant;O
capot;O
lescalier;O
Mile;B-PER
Marthe;B-LOC
courut;O
cramponnée;O
cou;O
tirait;O
moustaches;O
Les;O
sons;O
retentirent;O
voulut;O
musique;O
dinstrument;O
amené;O
entra;O
reconnut;O
ancien;O
modèle;O
tutoya;B-PER
surprit;O
assistants;O
En-;O
harpiste;O
rejeta;O
étendit;O
mit;O
jouer;O
romance;O
orientale;O
question;O
poignards;O
fleurs;O
détoiles;O
Lhomme;B-PER
haïllons;O
chantait;O
mordante;O
battements;O
machine;O
coupaient;O
mélodie;O
fausse;O
mesure;O
pinçait;O
fort;O
cordes;O
vibraient;O
métalliques;O
exhaler;O
sanglots;O
plainte;O
amour;O
orgueilleux;O
vaincu;O
côtés;O
sinclinaient;O
courant;O
dair;O
frais;O
Mme;B-PER
regardait;O
manière;O
vague;O
Quand;O
musi-;O
sarrêta;O
remua;O
paupières;O
sortait;O
songe;O
sapprocha;O
humblement;O
Pendant;O
quArnoux;B-MISC
cherchait;O
monnaie;O
allongea;O
fermée;O
louvrant;O
pu-;O
deur;O
déposa;O
louis;B-PER
vanité;O
poussait;O
aumône;O
mais;O
pensée;O
bénédiction;O
lassociait;O
mouve-;O
cœur;I-MISC
religieux;O
montrant;O
chemin;O
lengagea;O
cordia-;O
lement;O
affirma;O
déjeuner;O
mourait;O
faim;O
contraire;I-MISC
possédait;O
centime;O
bourse;O
Ensuite;O
songea;O
tenir;O
10;O
Autour;B-MISC
tables;O
rondes;O
mangeaient;O
garçon;O
cireulait;O
sassit;O
longue;O
ban-;O
quette;O
ramassé;O
Is;B-LOC
devaient;O
Montereau;I-MISC
prendre;O
diligence;O
Châlons;B-MISC
Leur;B-MISC
Suisse;I-MISC
durerait;O
bläma;O
mari;O
faiblesse;O
enfant;O
chuchota;O
oreille;O
gracieuseté;O
car;O
sourit;O
Puis;O
fermer;O
fenêtre;O
plafond;O
rabattait;O
crue;O
face;O
distinguait;O
lombre;O
cils;O
trempait;O
lèvres;O
verre;O
cassait;O
croûte;O
médaillon;O
lapis-;O
lazuli;O
attaché;O
chaïînette;O
poignet;O
sonnait;O
assiette;O
Ceux;B-MISC
pourtant;I-LOC
navaient;O
re-;O
marquer;O
Quelquefois;B-LOC
hublots;O
voyait;O
glisser;O
flanc;O
barque;O
accostait;O
déposer;O
altablés;I-MISC
pen-;O
chaïent;O
ouvertures;O
nommaient;O
riverains;O
plaignait;O
cuisine;O
récria;O
consi-;O
dérablement;O
laddition;O
réduire;O
emmena;O
boire;O
grogs;O
retourna;O
tente;O
revenue;O
lisait;O
mince;O
volume;O
couverture;O
grise;O
bouche;O
relevaient;O
moments;O
éclair;O
illuminait;O
front;O
jalousa;I-MISC
celui;O
inventé;I-MISC
paraissait;O
occupée;O
contemplait;O
sentait;O
creuser;O
abîmes;O
songeait;O
faudrait;O
quitter;O
lheure;O
irrévocablement;O
arraché;O
parole;I-MISC
laisser;O
sou-;O
"

 

 

";O
11;O
plaine;I-LOC
sétendait;O
herbage;O
doucement;O
rejoindre;O
aperce-;O
vignobles;O
noyers;O
moulin;I-MISC
ver-;O
dure;O
chemins;O
delà;O
formant;O
zig-;O
zags;O
roche;O
blanche;O
touchait;O
Quel;I-MISC
monter;O
côte;O
balayerait;O
feuilles;O
jaunies;O
écoutant;O
rayonnement;O
_;I-LOC
ils;O
quà;O
simple;O
facile;O
cependant;O
remuer;O
découvrit;O
château;O
toit;O
pointu;O
tourelles;O
carrées;O
parterre;B-LOC
sétalait;O
façade;O
avenues;O
senfonçaient;O
voûtes;O
noires;O
hauts;O
tilleuls;O
figura;O
passant;O
charmilles;O
mo-;O
dame;O
montrè-;O
rent;O
perron;I-MISC
caisses;O
dorangers;O
jouait;O
baiser;O
cacha;O
bonne;O
gronda;O
nêtre;O
aimable;O
sauvé;O
Etait;B-LOC
-ce;O
ouverture;O
indirecte;O
Va;B-MISC
telle;O
enfin;O
me;O
parler;O
  ;O
demandait;O
-il;O
pressait;O
Comment;O
obtenir;O
invitation;I-MISC
chez;O
nimagina;O
rien;O
mieux;O
remarquer;O
couleur;O
lautomne;O
ajou-;O
Voilà;B-MISC
lhiver;O
saison;O
bals;O
dîners;O
" 

";O
occupé;O
Surville;I-MISC
apparut;O
ponts;O
rappro-;O
chaient;O
longea;O
corderie;O
rangée;O
basses;O
dessous;O
marmites;O
goudron;O
éclats;O
gamins;O
couraient;O
roue;O
manches;O
12;I-MISC
Dépêche;B-MISC
toi;O
arrivait;O
chercha;O
péniblement;O
foule;O
répondit;O
serrant;O
Au;O
cher;O
envoya;O
gard;O
tâché;O
neût;O
demeura;O
égard;O
salutations;O
Pourquoi;O
nas;O
voiture;O
jus-;O
quici;O
bonhomme;I-MISC
sexcusait;O
maladroit;O
Donne;B-PER
-moi;I-MISC
largent;O
manger;O
auberge;O
quart;O
dheure;O
après;O
eut;O
dentrer;O
hasard;O
cour;O
diligences;O
verrait;O
quoi;O
laméricaine;O
lemporta;O
chevaux;O
nap-;O
partenaient;O
emprunté;O
Chambrion;B-MISC
receveur;O
latteler;O
sien;O
Isidore;B-PER
parti;O
sétait;O
reposé;O
Bray;I-LOC
quau;O
soir;O
couché;O
bêtes;O
rafraîchies;O
trottaient;O
lestement;O
champs;O
moissonnés;O
prolongeaient;O
nen;I-MISC
finir;O
Deux;O
lignes;O
darbres;I-MISC
bordaient;O
tas;O
cailloux;O
succédaient;O
Villeneuve-Saint-;B-MISC
Georges;O
Ablon;O
Châtillon;O
Corbeil;B-LOC
autres;O
revint;O
mémoire;O
façon;O
nelte;O
maintenant;O
détails;O
nouveaux;O
particularités;O
intimes;O
volant;O
pied;O
bottine;O
soie;O
marron;O
coutil;O
formait;O
dais;O
glands;O
bordure;O
tremblaient;O
brise;O
perpétuellement;O
ressemblait;O
livres;O
romantiques;O
"

  

 

 

 

";O
13;O
naurait;O
voulu;O
ajouter;O
retrancher;O
per-;O
sonne;O
Lunivers;B-LOC
sélargir;O
point;O
lumineux;I-MISC
lensemble;O
vergeait;O
bercé;O
mouvement;I-MISC
demi;O
closes;O
regard;O
sabandonnait;O
joie;O
rêveuse;O
infinie;O
nattendit;O
quon;O
donné;O
lavoine;O
seul;O
appelée;O
Marie;B-PER
haut;O
perdit;O
pourpre;O
enflammait;O
loccident;O
De;B-MISC
grosses;O
meules;I-MISC
blé;I-MISC
levaient;O
chaumes;O
projetaient;O
ombres;O
géantes;O
chien;O
aboyer;O
ferme;O
frissonna;O
inquiétude;O
cause;O
leut;O
rejoint;O
plaça;O
siège;O
conduire;O
Se;O
défaillance;O
passée;O
résolu;O
sintroduire;O
nimporte;O
comment;O
Ar-;I-PER
noux;I-PER
lier;O
eux;O
maison;O
amusante;O
plaisait;O
dailleurs;O
sait;O
Alors;O
flot;O
sang;O
monta;O
visage;O
tempes;O
bourdonnaient;O
claquer;O
fouet;O
secoua;O
rênes;O
menait;O
tel;O
vieux;O
cocher;O
répétait;O
Doucement;B-LOC
rendrez;I-MISC
poussifs;O
Peu;I-PER
calma;O
écouta;O
attendait;O
impatience;O
Louise;B-PER
pleuré;O
Quest;B-MISC
donc;O
Mlle;B-PER
Roque;B-PER
savez;O
Ah;B-PER
joubliais;O
répliqua;O
négligem-;O
pouvaient;O
boitaient;O
lun;O
neuf;O
sonnaient;O
Saint-Laurent;B-PER
lorsquil;B-PER
arriva;O
dArmes;B-MISC
2;O
14;I-LOC
Cette;O
spacieuse;O
jardin;O
donnant;O
ajoutait;O
considération;O
respectée;O
vieille;O
gentilshommes;O
éteinte;O
Son;O
plébéien;O
parents;O
épouser;O
mort;O
dépée;O
grossesse;O
laissant;O
for-;O
tune;O
compromise;O
recevait;O
semaine;O
donnait;O
beau;O
dîner;O
nom-;O
bre;O
bougies;O
calculé;O
davance;O
impatiemment;O
fermages;O
gêne;O
dissimulée;O
vice;O
rendait;I-MISC
sérieuse;O
vertu;O
sexerçait;O
étalage;O
pruderie;O
aigreur;O
moindres;I-MISC
charités;O
grandes;O
aumônes;O
consultait;O
choix;O
domestiques;O
léduca-;O
jeunes;O
filles;O
lart;O
confitures;O
Monsei-;B-LOC
gneur;O
descendait;O
chezelle;O
tournées;O
épiscopales;O
nourrissait;O
haute;O
ambition;O
fils;O
naimait;O
entendre;O
blâmer;O
Gou-;B-ORG
vernement;O
sorte;O
prudence;O
anticipée;I-MISC
aurait;O
besoin;O
protections;O
grâce;O
moyens;O
deviendrait;O
conseiller;O
dÉtat;I-LOC
ambas-;O
sadeur;O
ministre;O
triomphes;O
collège;O
Sens;B-LOC
légitimaient;O
cet;O
orgueil;O
remporté;O
prix;O
dhonneur;O
salon;O
levèrent;O
lembrassa;O
fauteuils;O
chai-;O
demi-cercle;O
Gamblin;I-PER
demanda;O
immédiatement;O
opinion;O
